300
V(-543456.802556645, -5060.7367800214, 323344.814762734)
V(-544296.353030414, -5135.42881181094, 322751.248178342)
V(-545128.012145473, -5209.98925300125, 322154.103595175)
V(-545951.778754624, -5284.44001325697, 321553.395477756)
V(-546767.669051316, -5358.80685064485, 320949.142953314)
V(-547575.71067161, -5433.12056204098, 320341.37422177)
V(-548376.194052405, -5507.42442668421, 319730.11276485)
V(-549174.005340331, -5582.00648261089, 319115.431793161)
V(-549971.086314552, -5657.12124459117, 318497.955255506)
V(-550767.447266357, -5732.49998371934, 317878.078936127)
V(-551562.807733682, -5806.07080398539, 317256.454439924)
V(-552356.233733655, -5875.82312842513, 316633.861188425)
V(-553147.62967284, -5941.18097036659, 316009.662321324)
V(-553937.934369905, -6003.61212733629, 315382.48402427)
V(-554727.38022779, -6065.55976353242, 314749.822823837)
V(-555515.038488022, -6127.95409198484, 314109.282275164)
V(-556300.293996726, -6190.6894420389, 313459.960711933)
V(-557083.166785817, -6253.63843946939, 312801.817253314)
V(-557863.763783478, -6316.93211921111, 312134.918632563)
V(-558641.994023665, -6380.52080352085, 311459.125082291)
V(-559417.891829242, -6444.37709370029, 310774.425060449)
V(-560191.485267887, -6508.56447841931, 310080.808926974)
V(-560962.725652264, -6573.04200324213, 309378.188191124)
V(-561731.641769057, -6637.81693600089, 308666.553146328)
V(-562498.227923964, -6702.91189854838, 307945.864014845)
V(-563262.46205697, -6768.30379400058, 307216.065490099)
V(-564024.356243189, -6834.00697288088, 306477.137834827)
V(-564783.891584341, -6900.02419290155, 305729.036933474)
V(-565541.059053711, -6966.34761736715, 304971.723436607)
V(-566295.90040283, -7032.99454854454, 304205.206627957)
V(-567048.663963173, -7100.00785073995, 303429.695903479)
V(-567799.466855052, -7167.40967729128, 302645.30990879)
V(-568548.680916663, -7235.27241442036, 301852.434097124)
V(-569296.319716856, -7303.60081041177, 301051.061609377)
V(-570042.384186137, -7372.43564154086, 300241.181100434)
V(-570787.552477981, -7442.03106697926, 299423.722303919)
V(-571532.122075896, -7512.16513530246, 298599.111902584)
V(-572276.07378181, -7582.39559118839, 297767.238638237)
V(-573019.836933055, -7652.81282817584, 296928.915319551)
V(-573763.447362038, -7723.44423588401, 296084.154283542)
V(-574506.987693533, -7794.31616029061, 295233.096510674)
V(-575250.469449874, -7865.43351409717, 294375.7120753)
V(-575993.913559201, -7936.7814303136, 293511.992745875)
V(-576737.355260681, -8008.37382086983, 292641.96831286)
V(-577480.808390479, -8080.20415883027, 291765.614999124)
V(-578224.302204676, -8152.27142944672, 290882.947391069)
V(-578967.861097628, -8224.58093469298, 289993.96920903)
V(-579711.505605704, -8297.12731231209, 289098.674112626)
V(-580455.263391136, -8369.91355964071, 288197.074078987)
V(-581199.15620056, -8442.93959846875, 287289.166688789)
V(-581943.208187682, -8516.2037695661, 286374.955394241)
V(-582687.444212157, -8589.70811330718, 285454.445846814)
V(-583431.88685751, -8663.45136258866, 284527.638020488)
V(-584176.560871428, -8737.43382434832, 283594.537332947)
V(-584921.489880422, -8811.65598998233, 282655.146577599)
V(-585666.697529532, -8886.11719283014, 281709.468539706)
V(-586412.208144537, -8960.8180018962, 280757.507795452)
V(-587158.045305763, -9035.75825912265, 279799.267104093)
V(-587904.23310975, -9110.9379110763, 278834.750487265)
V(-588650.795572776, -9186.35722921524, 277863.961835902)
V(-589397.75657958, -9262.01605712657, 276886.90468553)
V(-590145.140319097, -9337.91455126325, 275903.583319124)
V(-590892.970817976, -9414.05278016262, 274914.001621222)
V(-591641.272230369, -9490.43073755708, 273918.163747952)
V(-592390.068794394, -9567.04856721547, 272916.074047915)
V(-593139.386445647, -9643.90653446398, 271907.741118933)
V(-593889.178776384, -9720.99638260585, 270893.018519419)
V(-594639.221294567, -9798.32272682612, 269871.390726928)
V(-595388.991921385, -9875.89772351661, 268841.988496832)
V(-596138.006040103, -9953.77872199331, 267804.113667025)
V(-596886.194297813, -10032.0107524694, 266757.662274398)
V(-597633.057656924, -10110.5171097904, 265702.107410453)
V(-598378.264713814, -10189.2914256092, 264637.098199543)
V(-599122.108028869, -10268.3526204524, 263562.876597099)
V(-599864.43939152, -10347.6783984838, 262479.285331998)
V(-600605.328198314, -10427.2845961903, 261386.366631648)
V(-601344.832523963, -10507.1666486396, 260284.151876538)
V(-602082.901543657, -10587.3219198902, 259172.574430401)
V(-602819.621655723, -10667.7572880039, 258051.691976808)
V(-603554.979926876, -10748.4681187447, 256921.472128922)
V(-604289.000581355, -10829.4569637377, 255781.916405612)
V(-605021.721580432, -10910.725015435, 254633.038664763)
V(-605753.142609226, -10992.2708091549, 253474.818127162)
V(-606483.300971255, -11074.0966378251, 252307.268140735)
V(-607212.211317991, -11156.2021269965, 251130.381615714)
V(-607939.893305133, -11238.5876643863, 249944.156075925)
V(-608666.373651983, -11321.254339343, 248748.595505985)
V(-609391.667655481, -11404.201962581, 247543.693531895)
V(-610115.800228611, -11487.4313968115, 246329.452486104)
V(-610838.791334414, -11570.9430467782, 245105.870238907)
V(-611560.661336799, -11654.7372042839, 243872.945003995)
V(-612281.43303745, -11738.8145731872, 242630.677203466)
V(-613001.126081684, -11823.1754296002, 241379.064374456)
V(-613719.762619651, -11907.8203082955, 240118.106285599)
V(-614437.363665341, -11992.7496968987, 238847.801643149)
V(-615153.950263598, -12077.9639811875, 237568.149127742)
V(-615869.544207106, -12163.4637045689, 236279.148043089)
V(-616584.1664776, -12249.2492824109, 234980.796894116)
V(-617297.838780385, -12335.321198533, 233673.094771866)
V(-618010.57778159, -12421.6780093895, 232356.038712046)
V(-618722.162246374, -12507.7146254721, 231029.420233256)
V(-619432.084899094, -12593.3011013102, 229692.827433095)
V(-620139.616528568, -12678.8769801551, 228345.760984663)
V(-620844.665979063, -12764.4897601276, 226988.151126668)
V(-621546.514377456, -12850.0299436257, 225619.63002043)
V(-622244.757170381, -12935.624903628, 224239.999093462)
V(-622939.408993478, -13021.2512591238, 222849.249068504)
V(-623630.41279931, -13107.0525070313, 221447.347535615)
V(-624317.859888905, -13192.8883597131, 220034.311801893)
V(-625001.970895999, -13278.9148847058, 218610.235694839)
V(-625683.859009561, -13365.5024017017, 217175.691473179)
V(-626364.144089175, -13452.7222075547, 215731.051409322)
V(-627042.873992154, -13540.3669820613, 214276.32501665)
V(-627720.677625129, -13627.8229301422, 212811.939377554)
V(-628397.649646814, -13714.9308740425, 211337.952297689)
V(-629073.842070782, -13801.7332834762, 209854.383991328)
V(-629749.149026725, -13888.3567789263, 208361.122389583)
V(-630423.685675763, -13974.6581308483, 206858.245944711)
V(-631097.272587702, -14060.8365176859, 205345.586103904)
V(-631770.212987564, -14146.6660724792, 203823.371080725)
V(-632442.367386826, -14232.2680237029, 202291.460866728)
V(-633113.803731569, -14317.6156167081, 200749.889263077)
V(-633784.573410232, -14402.6797991245, 199198.677677267)
V(-634454.548437538, -14487.8090108001, 197637.705092276)
V(-635123.691933615, -14573.4789929513, 196066.948516971)
V(-635792.017882201, -14659.8374771913, 194486.410263645)
V(-636459.568172217, -14746.6982718972, 192896.081880774)
V(-637124.76241213, -14833.9989389041, 191297.969459243)
V(-637776.606963593, -14920.2654245205, 189713.850099341)
V(-638417.545839056, -15005.8115467513, 188137.653982215)
V(-639058.260303202, -15092.0629555883, 186543.11690923)
V(-639708.363702522, -15180.3455080918, 184905.493924819)
V(-640351.242787954, -15268.4308751262, 183265.91405513)
V(-640986.8973137, -15356.3180204239, 181624.394226572)
V(-641615.326937195, -15444.0059335224, 179980.951356988)
V(-642236.531277147, -15531.4937085524, 178335.60229917)
V(-642850.50992967, -15618.7805260448, 176688.363900893)
V(-643457.262458258, -15705.8655608485, 175039.253078241)
V(-644056.788379345, -15792.7479073065, 173388.286835759)
V(-644649.087149333, -15879.4265707473, 171735.482234199)
V(-645234.15815221, -15965.9005237664, 170080.856360385)
V(-645812.000707589, -16052.1687852481, 168424.426301838)
V(-646382.614088942, -16138.2304565843, 166766.209151791)
V(-646945.997536394, -16224.0846849102, 165106.222024441)
V(-647502.150262429, -16309.7305955335, 163444.482064733)
V(-648051.071451012, -16395.1672428311, 161781.006436781)
V(-648592.760249971, -16480.393623371, 160115.812308071)
V(-649127.215761207, -16565.4087315332, 158448.916839831)
V(-649654.437040022, -16650.2116160032, 156780.337190053)
V(-650174.423094126, -16734.8014087672, 155110.090524617)
V(-650687.172916635, -16819.1772057978, 153438.194027282)
V(-651192.68547551, -16903.33804575, 151764.664891974)
V(-651690.959704154, -16987.282975485, 150089.520330798)
V(-652181.994494034, -17071.0110427646, 148412.777568158)
V(-652665.788688355, -17154.5212989569, 146734.453842553)
V(-653142.341088023, -17237.8128024229, 145054.566414738)
V(-653611.650459671, -17320.8846149954, 143373.13257534)
V(-654073.715541226, -17403.7357952074, 141690.169649622)
V(-654528.535040318, -17486.3653938183, 140005.694993828)
V(-654976.107629122, -17568.7724548917, 138319.725991457)
V(-655416.431937215, -17650.9560213286, 136632.28004828)
V(-655849.506551139, -17732.9151386656, 134943.374604015)
V(-656275.330023031, -17814.6488569293, 133253.027116999)
V(-656693.900881357, -17896.1562276347, 131561.255052892)
